feature,importance
Global_Sales,0.4206169606866837
EU_Sales,0.19341436900930858
NA_Sales,0.18650820348852845
Other_Sales,0.1192643354795196
JP_Sales,0.038219837057479264
User_Count,0.015120616198492207
Critic_Score,0.00862895792373433
Critic_Count,0.0078128021852797
Genre,0.002896218750919439
User_Score,0.002811928589213858
Developer,0.0025558057052826226
Publisher,0.001379339118909097
Rating,0.0007706258066491473
